date,volume_na,volume_sa,volume_eu,volume_af,volume_as,volume_au,volume_ww
2019-03-16,0.00,0.00,0.00,0.00,0.00,0.00,2651.23
2019-03-17,0.00,0.00,0.00,0.00,0.00,0.00,3019.12
2019-03-18,0.00,0.00,0.00,0.00,0.00,0.00,3634.57
2019-03-19,0.00,0.00,0.00,0.00,0.00,0.00,2566.57
2019-03-20,0.00,0.00,0.00,0.00,0.00,0.00,1430.97
2019-03-21,0.00,0.00,0.00,0.00,0.00,0.00,1561.19
2019-03-22,0.00,0.00,0.00,0.00,0.00,0.00,4459.58
2019-03-23,0.00,0.00,0.00,0.00,0.00,0.00,2237.25
2019-03-24,0.00,0.00,0.00,0.00,0.00,0.00,1939.97
2019-03-25,0.00,0.00,0.00,0.00,0.00,0.00,2080.26
2019-03-26,0.00,0.00,0.00,0.00,0.00,0.00,1964.92
2019-03-27,0.00,0.00,0.00,0.00,0.00,0.00,998.36
2019-03-28,0.00,0.00,0.00,0.00,0.00,0.00,3493.55
2019-03-29,0.00,0.00,0.00,0.00,0.00,0.00,2886.53
2019-03-30,0.00,0.00,0.00,0.00,0.00,0.00,2061.08
2019-03-31,0.00,0.00,0.00,0.00,0.00,0.00,2602.84
2019-04-01,0.00,0.00,0.00,0.00,0.00,0.00,1718.26
2019-04-02,0.00,0.00,0.00,0.00,0.00,0.00,2632.46
2019-04-03,0.00,0.00,0.00,0.00,0.00,0.00,2722.66
2019-04-04,0.00,0.00,0.00,0.00,0.00,0.00,1223.18
2019-04-05,0.00,0.00,0.00,0.00,0.00,0.00,2878.19
2019-04-06,0.00,0.00,0.00,0.00,0.00,0.00,2200.32
2019-04-07,0.00,0.00,0.00,0.00,0.00,0.00,790.52
2019-04-08,0.00,0.00,0.00,0.00,0.00,0.00,2703.93
2019-04-09,0.00,0.00,0.00,0.00,0.00,0.00,2350.73
2019-04-10,0.00,0.00,0.00,0.00,0.00,0.00,1639.00
2019-04-11,0.00,0.00,0.00,0.00,0.00,0.00,1700.25
2019-04-12,0.00,0.00,0.00,0.00,0.00,0.00,1696.09
2019-04-13,0.00,0.00,0.00,0.00,0.00,0.00,2375.08
2019-04-14,0.00,0.00,0.00,0.00,0.00,0.00,1285.31
2019-04-15,0.00,0.00,0.00,0.00,0.00,0.00,1050.25
2019-04-16,0.00,0.00,0.00,0.00,0.00,0.00,1104.13
2019-04-17,0.00,0.00,0.00,0.00,0.00,0.00,1015.16
2019-04-18,0.00,0.00,0.00,0.00,0.00,0.00,1026.30
2019-04-19,0.00,0.00,0.00,0.00,0.00,0.00,3176.00
2019-04-20,0.00,0.00,0.00,0.00,0.00,0.00,3553.94
2019-04-21,0.00,0.00,0.00,0.00,0.00,0.00,1768.12
2019-04-22,0.00,0.00,0.00,0.00,0.00,0.00,1893.20
2019-04-23,0.00,0.00,0.00,0.00,0.00,0.00,5852.32
2019-04-24,0.00,0.00,0.00,0.00,0.00,0.00,3233.72
2019-04-25,0.00,0.00,0.00,0.00,0.00,0.00,2200.57
2019-04-26,0.00,0.00,0.00,0.00,0.00,0.00,2113.91
2019-04-27,0.00,0.00,0.00,0.00,0.00,0.00,1291.15
2019-04-28,0.00,0.00,0.00,0.00,0.00,0.00,1455.00
2019-04-29,0.00,0.00,0.00,0.00,0.00,0.00,2429.99
2019-04-30,0.00,0.00,0.00,0.00,0.00,0.00,2166.65
2019-05-01,0.00,0.00,0.00,0.00,0.00,0.00,4848.93
2019-05-02,0.00,0.00,0.00,0.00,0.00,0.00,2266.84
2019-05-03,0.00,0.00,0.00,0.00,0.00,0.00,3071.05
2019-05-04,0.00,0.00,0.00,0.00,0.00,0.00,1565.43
2019-05-05,0.00,0.00,0.00,0.00,0.00,0.00,1074.42
2019-05-06,0.00,0.00,0.00,0.00,0.00,0.00,1195.29
2019-05-07,0.00,0.00,0.00,0.00,0.00,0.00,749.41
2019-05-08,0.00,0.00,0.00,0.00,0.00,0.00,1321.28
2019-05-09,0.00,0.00,0.00,0.00,0.00,0.00,1314.32
2019-05-10,0.00,0.00,0.00,0.00,0.00,0.00,1633.17
2019-05-11,0.00,0.00,0.00,0.00,0.00,0.00,1426.33
2019-05-12,0.00,0.00,0.00,0.00,0.00,0.00,2789.70
