date,au_na,au_sa,au_eu,au_af,au_as,au_au,au_ww
2022-03-30,455,321,81,78,521,297,1753
2022-03-31,534,310,55,37,424,352,1712
2022-04-01,578,367,103,90,348,338,1824
2022-04-02,561,409,65,38,339,362,1774
2022-04-03,594,283,98,61,362,404,1802
2022-04-04,589,286,115,54,332,445,1821
2022-04-05,494,361,69,78,414,304,1720
2022-04-06,467,232,107,40,538,299,1683
2022-04-07,498,218,89,19,538,363,1725
2022-04-08,475,375,98,57,292,388,1685
2022-04-09,542,223,77,74,436,337,1689
2022-04-10,561,189,49,23,517,361,1700
2022-04-11,471,347,84,48,537,310,1797
2022-04-12,446,261,58,74,606,270,1715
2022-04-13,470,387,65,43,377,381,1723
2022-04-14,492,346,111,76,397,260,1682
2022-04-15,552,402,49,54,364,294,1715
2022-04-16,502,237,66,60,395,405,1665
2022-04-17,588,338,84,88,287,416,1801
2022-04-18,462,181,53,25,613,435,1769
2022-04-19,558,185,67,32,518,392,1752
2022-04-20,592,198,72,66,508,271,1707
2022-04-21,521,307,35,47,584,277,1771
2022-04-22,624,266,67,29,460,357,1803
2022-04-23,466,306,90,71,419,409,1761
2022-04-24,453,361,87,80,311,418,1710
2022-04-25,562,215,83,46,533,318,1757
2022-04-26,471,177,87,50,638,280,1703
2022-04-27,462,363,51,35,558,262,1731
2022-04-28,576,363,79,46,349,256,1669
2022-04-29,465,258,86,67,424,328,1628
2022-04-30,514,181,77,26,396,383,1577
2022-05-01,472,326,62,72,494,288,1714
2022-05-02,606,306,98,82,232,411,1735
2022-05-03,453,334,101,34,499,254,1675
2022-05-04,432,225,93,72,508,383,1713
2022-05-05,473,320,33,31,484,307,1648
2022-05-06,532,283,47,51,518,256,1687
2022-05-07,509,333,48,61,378,351,1680
2022-05-08,509,393,65,19,445,260,1691
2022-05-09,479,203,80,67,582,290,1701
2022-05-10,542,222,94,42,390,361,1651
2022-05-11,539,275,46,84,503,282,1729
2022-05-12,593,269,96,70,383,300,1711
2022-05-13,586,395,38,17,327,322,1685
2022-05-14,416,312,48,17,610,259,1662
2022-05-15,425,371,117,80,370,321,1684
2022-05-16,516,324,55,44,517,272,1728
2022-05-17,497,416,80,72,325,305,1695
2022-05-18,414,256,41,20,493,400,1624
2022-05-19,418,196,38,63,628,252,1595
2022-05-20,436,311,97,65,478,277,1664
2022-05-21,461,381,82,49,439,279,1691
2022-05-22,457,361,112,58,452,292,1732
2022-05-23,465,205,71,60,564,326,1691
2022-05-24,551,258,90,58,432,284,1673
2022-05-25,449,196,70,60,563,294,1632
2022-05-26,535,276,76,26,323,390,1626
2022-05-27,502,296,108,63,368,288,1625
2022-05-28,447,339,62,48,441,257,1594
2022-05-29,484,230,56,67,427,336,1600
2022-05-30,467,177,47,59,579,292,1621
2022-05-31,510,336,97,58,281,376,1658
2022-06-01,449,358,109,32,338,356,1642
2022-06-02,484,422,111,61,261,419,1758
2022-06-03,439,244,94,38,440,409,1664
2022-06-04,532,250,75,43,380,373,1653
2022-06-05,425,294,82,43,431,407,1682
2022-06-06,440,363,103,65,394,346,1711
2022-06-07,430,164,111,69,574,255,1603
2022-06-08,426,275,104,80,481,250,1616
2022-06-09,529,199,74,38,428,387,1655
2022-06-10,423,274,57,33,525,324,1636
2022-06-11,561,210,74,80,443,258,1626
2022-06-12,422,284,46,56,513,325,1646
2022-06-13,497,186,42,63,623,307,1718
2022-06-14,471,363,85,23,442,255,1639
2022-06-15,511,375,75,78,256,360,1655
2022-06-16,432,266,105,51,445,330,1629
2022-06-17,420,315,60,60,365,365,1585
2022-06-18,437,227,107,52,499,246,1568
2022-06-19,544,337,76,78,219,383,1637
2022-06-20,473,385,42,49,362,402,1713
2022-06-21,508,307,33,40,368,412,1668
2022-06-22,551,195,80,79,421,336,1662
2022-06-23,466,271,108,35,430,315,1625
2022-06-24,526,399,75,37,253,328,1618
2022-06-25,409,180,96,52,501,325,1563
2022-06-26,532,254,66,21,333,395,1601
2022-06-27,447,238,108,55,346,365,1559
2022-06-28,428,374,30,28,337,328,1525
2022-06-29,407,358,55,69,381,303,1573
2022-06-30,559,247,55,60,374,309,1604
2022-07-01,564,229,98,48,408,271,1618
2022-07-02,457,223,55,24,494,309,1562
2022-07-03,542,248,32,38,379,366,1605
2022-07-04,502,284,56,61,375,324,1602
2022-07-05,451,264,48,50,378,342,1533
2022-07-06,429,324,76,45,324,335,1533
2022-07-07,503,181,41,65,425,280,1495
2022-07-08,452,208,52,27,394,353,1486
2022-07-09,466,173,48,59,434,309,1489
2022-07-10,408,231,37,26,594,312,1608
2022-07-11,406,369,58,44,366,362,1605
2022-07-12,526,338,93,75,278,251,1561
2022-07-13,421,352,46,46,290,380,1535
2022-07-14,387,342,86,68,308,311,1502
2022-07-15,499,268,52,58,367,246,1490
2022-07-16,420,165,94,38,442,386,1545
2022-07-17,483,257,40,55,352,329,1516
2022-07-18,493,244,49,66,387,289,1528
2022-07-19,511,312,50,15,250,329,1467
2022-07-20,516,260,105,49,338,326,1594
2022-07-21,400,251,65,20,445,347,1528
2022-07-22,527,359,91,37,260,300,1574
2022-07-23,402,320,38,29,438,316,1543
2022-07-24,457,171,38,36,553,318,1573
2022-07-25,523,300,106,31,262,350,1572
2022-07-26,442,208,89,36,456,319,1550
2022-07-27,456,271,99,17,354,305,1502
2022-07-28,456,194,76,63,343,337,1469
2022-07-29,429,225,65,68,435,273,1495
2022-07-30,516,365,79,47,214,349,1570
2022-07-31,432,383,62,61,399,273,1610
2022-08-01,479,287,79,60,409,292,1606
2022-08-02,433,358,55,20,379,316,1561
2022-08-03,400,165,30,71,518,337,1521
2022-08-04,411,363,57,23,308,363,1525
2022-08-05,414,167,73,55,449,373,1531
2022-08-06,394,361,53,35,359,291,1493
2022-08-07,385,220,36,17,474,322,1454
2022-08-08,427,282,37,27,411,383,1567
2022-08-09,442,181,108,23,508,310,1572
2022-08-10,479,308,60,54,247,374,1522
2022-08-11,486,223,48,26,487,284,1554
2022-08-12,449,315,55,44,395,302,1560
2022-08-13,441,382,90,44,267,365,1589
2022-08-14,529,320,93,19,363,294,1618
2022-08-15,422,173,84,25,595,371,1670
2022-08-16,420,313,37,40,428,263,1501
2022-08-17,516,236,104,52,246,347,1501
2022-08-18,448,261,66,37,427,299,1538
2022-08-19,490,329,66,16,336,368,1605
2022-08-20,486,359,87,60,365,257,1614
2022-08-21,441,183,54,43,635,274,1630
2022-08-22,470,278,86,19,489,313,1655
2022-08-23,422,315,34,69,438,298,1576
2022-08-24,552,191,34,35,422,349,1583
2022-08-25,473,212,93,16,440,348,1582
2022-08-26,485,360,100,19,328,247,1539
2022-08-27,483,264,36,45,398,273,1499
2022-08-28,532,209,97,38,418,259,1553
2022-08-29,450,373,57,47,442,277,1646
2022-08-30,462,237,46,28,533,231,1537
2022-08-31,464,329,102,74,222,343,1534
2022-09-01,444,179,66,65,400,378,1532
2022-09-02,402,318,55,64,460,243,1542
2022-09-03,496,199,94,65,367,240,1461
2022-09-04,465,319,34,22,435,233,1508
2022-09-05,504,326,36,26,355,253,1500
2022-09-06,399,161,57,34,405,346,1402
2022-09-07,470,279,42,15,393,267,1466
2022-09-08,457,270,93,23,356,319,1518
2022-09-09,506,196,82,40,412,303,1539
2022-09-10,397,167,96,17,551,251,1479
2022-09-11,482,203,34,66,390,331,1506
2022-09-12,451,236,31,49,510,282,1559
2022-09-13,464,263,101,66,320,280,1494
2022-09-14,446,369,72,39,233,344,1503
2022-09-15,496,291,77,26,336,253,1479
2022-09-16,426,365,83,42,219,346,1481
2022-09-17,415,338,54,18,300,304,1429
2022-09-18,465,298,69,35,295,381,1543
2022-09-19,512,348,96,49,246,323,1574
2022-09-20,532,325,49,28,351,242,1527
2022-09-21,464,238,53,29,474,255,1513
2022-09-22,464,359,83,37,339,261,1543
2022-09-23,421,183,44,61,561,280,1550
2022-09-24,439,351,44,64,306,357,1561
2022-09-25,485,235,52,29,406,252,1459
2022-09-26,544,202,57,48,331,392,1574
2022-09-27,541,374,36,24,345,249,1569
2022-09-28,553,394,108,16,274,257,1602
2022-09-29,550,381,49,22,269,342,1613
2022-09-30,418,188,32,75,450,385,1548
2022-10-01,426,296,35,33,426,326,1542
2022-10-02,496,263,99,34,380,279,1551
2022-10-03,474,343,40,72,327,275,1531
2022-10-04,425,355,56,42,429,239,1546
2022-10-05,469,184,65,48,442,333,1541
2022-10-06,410,233,88,44,358,342,1475
2022-10-07,417,313,58,25,429,310,1552
2022-10-08,424,320,57,24,343,365,1533
2022-10-09,462,314,32,50,403,332,1593
2022-10-10,527,252,109,40,366,280,1574
2022-10-11,454,256,61,64,362,349,1546
2022-10-12,402,241,44,49,554,252,1542
2022-10-13,520,322,85,31,303,284,1545
2022-10-14,531,287,87,18,245,362,1530
2022-10-15,381,345,43,51,323,352,1495
2022-10-16,443,206,100,54,331,318,1452
2022-10-17,416,345,83,44,357,296,1541
2022-10-18,536,179,65,68,470,310,1628
2022-10-19,542,182,67,72,356,365,1584
2022-10-20,484,282,84,26,370,324,1570
2022-10-21,481,381,97,29,277,297,1562
2022-10-22,451,247,91,48,510,264,1611
2022-10-23,461,196,84,17,552,258,1568
2022-10-24,473,254,86,77,473,264,1627
2022-10-25,422,311,79,21,318,372,1523
2022-10-26,512,247,95,15,382,229,1480
2022-10-27,405,178,101,64,473,288,1509
2022-10-28,506,260,95,21,411,294,1587
2022-10-29,458,324,43,30,333,335,1523
2022-10-30,527,235,98,44,355,269,1528
2022-10-31,536,199,86,29,435,257,1542
2022-11-01,483,231,80,33,366,301,1494
2022-11-02,459,365,63,40,241,325,1493
2022-11-03,494,239,68,72,332,311,1516
2022-11-04,508,259,77,15,312,302,1473
2022-11-05,424,160,73,20,574,242,1493
2022-11-06,420,178,56,37,463,284,1438
2022-11-07,528,359,46,38,233,339,1543
2022-11-08,489,215,73,34,339,339,1489
2022-11-09,513,315,84,50,315,226,1503
2022-11-10,425,212,43,21,432,361,1494
2022-11-11,466,234,36,69,355,323,1483
2022-11-12,433,304,34,54,359,275,1459
2022-11-13,504,361,70,30,159,338,1462
2022-11-14,413,259,56,16,435,307,1486
2022-11-15,381,201,37,27,536,244,1426
2022-11-16,482,222,101,27,322,318,1472
2022-11-17,452,199,41,72,387,312,1463
2022-11-18,520,226,84,50,285,323,1488
2022-11-19,442,193,78,37,435,259,1444
2022-11-20,351,230,34,62,439,265,1381
2022-11-21,507,343,101,72,151,315,1489
2022-11-22,450,337,75,47,205,363,1477
2022-11-23,407,177,73,38,457,357,1509
2022-11-24,484,291,88,32,305,229,1429
2022-11-25,413,289,42,25,320,347,1436
2022-11-26,414,239,91,17,387,278,1426
2022-11-27,394,212,70,37,391,347,1451
2022-11-28,470,228,46,55,365,343,1507
2022-11-29,521,254,97,69,249,303,1493
2022-11-30,430,197,100,37,384,316,1464
2022-12-01,369,250,95,63,416,230,1423
2022-12-02,377,174,30,67,532,258,1438
2022-12-03,502,312,71,21,328,238,1472
2022-12-04,395,158,76,17,445,309,1400
2022-12-05,467,302,58,62,296,251,1436
2022-12-06,472,214,40,53,284,342,1405
2022-12-07,408,355,62,62,329,289,1505
2022-12-08,490,220,50,20,455,230,1465
2022-12-09,447,346,71,23,355,232,1474
2022-12-10,413,299,90,69,386,227,1484
2022-12-11,443,189,44,29,488,226,1419
2022-12-12,377,153,96,25,505,309,1465
2022-12-13,434,315,72,47,282,305,1455
2022-12-14,455,283,89,18,293,319,1457
2022-12-15,361,157,44,47,459,336,1404
2022-12-16,454,301,31,65,259,304,1414
2022-12-17,387,257,80,15,399,370,1508
2022-12-18,364,331,36,30,346,317,1424
2022-12-19,509,286,50,27,302,320,1494
2022-12-20,375,215,93,58,460,247,1448
2022-12-21,370,355,92,38,362,247,1464
2022-12-22,467,154,48,28,387,335,1419
2022-12-23,499,198,84,47,359,264,1451
2022-12-24,433,199,29,57,408,264,1390
2022-12-25,450,237,82,41,251,287,1348
2022-12-26,425,217,59,37,424,273,1435
2022-12-27,490,363,44,69,255,252,1473
2022-12-28,518,341,73,72,231,263,1498
2022-12-29,387,260,95,52,397,233,1424
2022-12-30,418,363,86,29,231,328,1455
2022-12-31,503,198,36,43,447,217,1444
2023-01-01,496,201,79,68,347,233,1424
2023-01-02,459,285,33,30,344,312,1463
2023-01-03,451,183,33,69,358,329,1423
2023-01-04,468,260,41,29,284,325,1407
2023-01-05,343,293,75,21,350,244,1326
2023-01-06,447,202,43,65,468,220,1445
2023-01-07,462,160,77,58,371,254,1382
2023-01-08,474,295,70,19,327,259,1444
2023-01-09,419,291,89,59,247,358,1463
2023-01-10,371,290,73,46,313,325,1418
2023-01-11,450,316,93,27,256,251,1393
2023-01-12,417,338,46,59,271,249,1380
2023-01-13,372,348,54,39,283,298,1394
2023-01-14,353,146,76,35,528,213,1351
2023-01-15,439,211,44,39,346,285,1364
2023-01-16,445,319,88,47,364,259,1522
2023-01-17,445,253,53,27,372,298,1448
2023-01-18,477,208,33,17,470,214,1419
2023-01-19,396,156,35,22,545,245,1399
2023-01-20,414,291,93,35,360,241,1434
2023-01-21,378,214,68,51,372,293,1376
2023-01-22,409,151,52,43,397,340,1392
2023-01-23,468,269,69,56,264,297,1423
2023-01-24,469,328,41,25,214,270,1347
2023-01-25,365,207,44,65,379,273,1333
2023-01-26,412,199,64,51,339,342,1407
2023-01-27,377,338,74,51,299,231,1370
2023-01-28,381,329,38,40,366,250,1404
2023-01-29,376,267,68,23,447,272,1453
2023-01-30,499,170,35,31,423,273,1431
2023-01-31,440,318,49,70,293,236,1406
2023-02-01,369,277,91,15,399,260,1411
2023-02-02,404,244,58,16,379,237,1338
2023-02-03,449,180,51,32,296,307,1315
2023-02-04,426,190,32,42,390,234,1314
2023-02-05,402,280,64,56,362,289,1453
2023-02-06,382,188,51,17,484,289,1411
2023-02-07,390,226,32,30,418,303,1399
2023-02-08,356,299,66,42,365,273,1401
2023-02-09,446,149,37,14,411,319,1376
2023-02-10,379,176,37,43,419,336,1390
2023-02-11,366,182,73,27,506,232,1386
2023-02-12,360,189,88,27,440,261,1365
2023-02-13,382,313,58,57,268,355,1433
2023-02-14,453,298,94,38,188,289,1360
2023-02-15,468,344,56,14,306,242,1430
2023-02-16,383,171,77,35,516,214,1396
2023-02-17,455,340,94,45,185,287,1406
2023-02-18,471,160,58,25,400,257,1371
2023-02-19,475,153,56,51,421,217,1373
2023-02-20,397,349,45,64,266,288,1409
2023-02-21,460,244,44,37,388,238,1411
2023-02-22,400,194,28,57,348,311,1338
2023-02-23,418,164,69,25,425,237,1338
2023-02-24,349,234,48,21,411,332,1395
2023-02-25,446,152,40,28,430,347,1443
2023-02-26,483,198,29,52,424,245,1431
2023-02-27,447,201,40,30,346,328,1392
2023-02-28,384,192,77,52,327,332,1364
2023-03-01,342,186,81,38,502,203,1352
2023-03-02,412,166,88,17,433,259,1375
2023-03-03,436,188,93,43,377,241,1378
2023-03-04,368,297,80,51,277,252,1325
2023-03-05,351,219,69,55,340,335,1369
2023-03-06,423,349,90,66,197,274,1399
2023-03-07,415,322,51,26,326,235,1375
2023-03-08,385,222,34,65,447,232,1385
2023-03-09,364,249,94,31,416,231,1385
2023-03-10,409,307,83,30,221,339,1389
2023-03-11,471,220,77,27,244,341,1380
2023-03-12,489,307,79,29,236,280,1420
2023-03-13,459,288,93,70,193,316,1419
2023-03-14,453,279,50,52,162,323,1319
2023-03-15,348,222,36,49,338,285,1278
2023-03-16,416,180,49,64,297,290,1296
2023-03-17,433,215,51,22,419,238,1378
2023-03-18,443,203,58,67,363,212,1346
2023-03-19,495,186,97,15,326,307,1426
2023-03-20,389,231,80,35,353,339,1427
2023-03-21,384,242,76,18,394,251,1365
2023-03-22,455,211,80,66,271,260,1343
2023-03-23,396,263,44,61,282,281,1327
2023-03-24,373,139,57,49,470,246,1334
2023-03-25,350,220,63,16,382,217,1248
2023-03-26,423,150,69,34,441,223,1340
2023-03-27,479,328,28,18,251,323,1427
2023-03-28,419,220,55,35,290,286,1305
2023-03-29,347,160,27,61,521,197,1313
2023-03-30,361,280,33,64,321,264,1323
2023-03-31,397,277,52,48,309,227,1310
2023-04-01,358,240,63,36,271,309,1277
2023-04-02,410,234,55,38,303,283,1323
2023-04-03,464,321,39,55,242,216,1337
2023-04-04,352,194,71,27,407,202,1253
2023-04-05,338,222,70,53,356,231,1270
2023-04-06,337,207,81,47,392,214,1278
2023-04-07,422,296,75,37,205,248,1283
2023-04-08,345,255,40,44,310,279,1273
2023-04-09,420,237,85,33,324,200,1299
2023-04-10,450,213,49,39,308,266,1325
2023-04-11,428,180,76,33,240,291,1248
2023-04-12,414,208,79,49,214,264,1228
2023-04-13,401,165,73,39,311,232,1221
2023-04-14,357,126,47,31,413,209,1183
2023-04-15,391,226,79,53,191,268,1208
2023-04-16,386,266,63,59,292,268,1334
2023-04-17,455,226,84,58,197,288,1308
2023-04-18,331,202,73,49,388,220,1263
2023-04-19,348,182,28,57,400,215,1230
2023-04-20,410,272,65,50,210,247,1254
2023-04-21,394,192,76,30,340,252,1284
2023-04-22,423,176,32,14,382,286,1313
2023-04-23,410,317,87,45,178,270,1307
2023-04-24,366,181,65,21,302,291,1226
2023-04-25,416,309,80,18,181,312,1316
2023-04-26,431,284,37,58,295,230,1335
2023-04-27,431,289,67,59,204,222,1272
2023-04-28,365,310,28,51,239,314,1307
2023-04-29,391,253,86,54,245,299,1328
2023-04-30,364,219,52,53,295,284,1267
2023-05-01,390,225,82,24,227,291,1239
2023-05-02,335,173,63,21,372,316,1280
2023-05-03,350,246,37,55,309,250,1247
2023-05-04,327,225,41,49,325,256,1223
2023-05-05,405,261,76,35,248,201,1226
2023-05-06,410,204,75,18,245,316,1268
2023-05-07,360,189,84,47,394,205,1279
2023-05-08,361,306,91,43,289,231,1321
2023-05-09,435,148,70,35,355,234,1277
2023-05-10,351,258,49,34,341,216,1249
2023-05-11,320,188,70,17,447,218,1260
2023-05-12,409,293,29,56,284,207,1278
2023-05-13,402,225,67,57,145,282,1178
2023-05-14,358,209,30,32,401,226,1256
2023-05-15,370,188,29,46,432,218,1283
2023-05-16,332,181,57,35,384,317,1306
2023-05-17,411,300,57,31,256,240,1295
2023-05-18,318,198,52,41,380,233,1222
2023-05-19,335,188,64,16,448,210,1261
2023-05-20,406,196,35,33,305,270,1245
2023-05-21,434,166,79,33,276,253,1241
2023-05-22,375,285,41,53,261,291,1306
2023-05-23,344,152,52,26,413,185,1172
2023-05-24,379,212,44,29,318,180,1162
2023-05-25,395,293,70,23,178,245,1204
2023-05-26,361,177,39,19,402,270,1268
2023-05-27,389,207,54,44,259,274,1227
2023-05-28,404,229,63,58,302,205,1261
2023-05-29,345,153,34,61,502,195,1290
2023-05-30,311,293,32,37,357,192,1222
2023-05-31,330,228,56,59,252,294,1219
2023-06-01,398,214,50,49,314,212,1237
2023-06-02,411,154,58,36,281,241,1181
2023-06-03,336,223,48,16,369,195,1187
2023-06-04,385,121,72,31,384,187,1180
2023-06-05,395,163,82,52,266,313,1271
2023-06-06,375,258,48,25,271,247,1224
2023-06-07,324,195,78,26,384,204,1211
2023-06-08,308,276,36,20,358,213,1211
2023-06-09,296,185,74,57,333,234,1179
2023-06-10,337,162,27,37,316,292,1171
2023-06-11,347,211,54,37,340,238,1227
2023-06-12,418,225,62,57,302,191,1255
2023-06-13,380,122,76,34,285,288,1185
2023-06-14,237,128,31,7,165,135,703
